Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771788278,250,,Aggregated,3543.100000,0.000000,16,17,18,18,23,52,93,120,200,300,440,282835,0,16,21.137943400761415,11.089666979387403,442.4553329590708,798.4131207240971
1771788279,250,,Aggregated,3558.100000,0.000000,16,17,18,18,23,51,93,120,200,300,440,286480,0,16,21.108844534110084,11.089666979387403,442.4553329590708,798.48946174253
1771788280,250,,Aggregated,3536.000000,0.000000,16,17,18,18,23,52,92,120,200,300,440,290002,0,16,21.110927280780025,11.089666979387403,442.4553329590708,798.4591554541004
1771788281,250,,Aggregated,3540.100000,0.000000,16,17,18,18,23,52,92,120,200,300,440,293486,0,16,21.119458171620074,11.089666979387403,442.4553329590708,798.2931553804951
1771788282,250,,Aggregated,3545.000000,0.000000,16,17,18,18,23,52,92,120,200,300,440,296979,0,16,21.109973881220597,11.089666979387403,442.4553329590708,798.218079392819
1771788283,250,,Aggregated,3537.200000,0.000000,16,17,18,18,23,52,92,120,200,300,440,300541,0,16,21.098226407920585,11.089666979387403,442.4553329590708,798.2637077803029
1771788284,250,,Aggregated,3521.600000,0.000000,16,17,18,18,23,52,92,120,200,300,440,304145,0,16,21.069842183373208,11.089666979387403,442.4553329590708,798.1689292935935
1771788285,250,,Aggregated,3528.700000,0.000000,16,17,18,18,23,52,92,120,200,300,440,307403,0,16,21.133463716615132,11.089666979387403,442.4553329590708,798.0280901617746
1771788286,250,,Aggregated,3522.300000,0.000000,16,17,18,18,23,52,92,120,200,300,440,310924,0,16,21.13409855573637,11.089666979387403,442.4553329590708,797.8061809316746
1771788287,250,,Aggregated,3507.300000,0.000000,16,17,18,18,23,51,91,120,200,300,440,314698,0,16,21.07648885880297,11.089666979387403,442.4553329590708,797.7377136174999
1771788288,250,,Aggregated,3503.800000,0.000000,16,17,18,18,23,52,92,120,200,300,440,317997,0,16,21.121690125338958,11.089666979387403,442.4553329590708,797.9443768337437
1771788289,250,,Aggregated,3496.600000,0.000000,16,17,18,18,23,52,92,120,200,300,440,321533,0,16,21.100681764396775,11.089666979387403,442.4553329590708,798.1012773183468
